"skills","avg_salary_yearly"
"airflow","195820.00"
"spark","178252.50"
"hadoop","164717.78"
"c","162275.00"
"pandas","157500.00"
"numpy","157500.00"
"jquery","156000.00"
"ruby","150000.00"
"gdpr","144250.00"
"phoenix","139590.91"
